Id;País;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023;2024;2024
10;Bélgica; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20.700,00 ; 30.575,00 ; 882,00 ; 1.391,00 ; -   ; -   ; -   ; -   ; -   ; -   ; 13.791,00 ; 95.375,00 ; 9.363,00 ; 40.899,00 ; 5.550,00 ; 23.433,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7,00 ; 1.090,00 ; 4.376,00 ; 45.221,00 ; 163,00 ; 1.201,00 ; 7,00 ; 30,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
11;Bolívia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 540,00 ; 1.348,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.170,00 ; 10.920,00 ; -   ; -   
12;Bósnia-Herzegovina; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.218,00 ; 902,00 ; -   ; -   ; -   ; -   ; -   ; -   ; 4.883,00 ; 9.862,00 
13;Brasil; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2.088,00 ; 16.212,00 ; 3.007,00 ; 20.041,00 ; 2.930,00 ; 12.527,00 ; 3.513,00 ; 19.633,00 ; 309,00 ; 1.769,00 ; -   ; -   ; 7,00 ; 232,00 ; 93,00 ; 1.164,00 ; 1.051,00 ; 15.016,00 ; 473,00 ; 5.747,00 ; 449,00 ; 6.011,00 ; 1.359,00 ; 12.919,00 ; 183,00 ; 2.127,00 ; 845.617,00 ; 260.135,00 ; 18.040,00 ; 121.806,00 ; 29.295,00 ; 246.008,00 ; 4.347,00 ; 41.213,00 ; 12.602,00 ; 39.816,00 ; 1,00 ; 5,00 ; 6.229,00 ; 76.894,00 ; 71.637,00 ; 147.179,00 
14;Bulgária; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20.997,00 ; 94.727,00 ; 1.097,00 ; 2.527,00 ; -   ; -   ; 5.947,00 ; 21.988,00 ; 15.019,00 ; 46.857,00 ; 17.244,00 ; 51.678,00 ; 17.777,00 ; 55.253,00 ; 35.284,00 ; 68.234,00 ; 16.166,00 ; 17.550,00 ; 10.944,00 ; 9.915,00 ; 23.110,00 ; 58.319,00 ; 34.185,00 ; 105.623,00 ; 29.929,00 ; 43.221,00 ; 40.281,00 ; 95.232,00 ; 25.718,00 ; 62.739,00 
15;Canada; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 396,00 ; 30.957,00 ; -   ; -   ; -   ; -   ; 2.322,00 ; 35.032,00 ; -   ; -   ; -   ; -   ; 1.530,00 ; 25.958,00 ; -   ; -   ; -   ; -   ; -   ; -   ; 301,00 ; 17.418,00 ; -   ; -   ; -   ; -   ; -   ; -   ; 884,00 ; 11.607,00 ; 14,00 ; 1.062,00 ; 203,00 ; 18.258,00 
16;Chile; 162.370,00 ; 101.819,00 ; 74.406,00 ; 52.240,00 ; 161.736,00 ; 95.654,00 ; 301.559,00 ; 212.140,00 ; 550.691,00 ; 429.885,00 ; 952.233,00 ; 764.780,00 ; 2.175.650,00 ; 1.574.474,00 ; 2.593.464,00 ; 1.962.448,00 ; 3.742.918,00 ; 3.415.769,00 ; 4.235.991,00 ; 4.315.227,00 ; 2.568.586,00 ; 3.199.365,00 ; 1.647.720,00 ; 2.344.875,00 ; 786.016,00 ; 1.124.272,00 ; 598.657,00 ; 781.217,00 ; 490.217,00 ; 527.176,00 ; 1.114.665,00 ; 1.195.151,00 ; 1.347.894,00 ; 1.416.109,00 ; 914.549,00 ; 1.008.445,00 ; 1.240.065,00 ; 1.474.473,00 ; 2.020.687,00 ; 2.675.722,00 ; 1.530.497,00 ; 2.034.195,00 ; 1.424.430,00 ; 1.869.655,00 ; 1.073.114,00 ; 1.421.889,00 ; 1.633.996,00 ; 2.655.683,00 ; 2.347.724,00 ; 3.822.138,00 ; 2.622.381,00 ; 4.165.531,00 ; 1.964.361,00 ; 3.273.873,00 ; 2.951.870,00 ; 5.453.225,00 ; 3.203.054,00 ; 6.005.098,00 ; 4.312.887,00 ; 8.756.515,00 ; 5.559.322,00 ; 12.096.840,00 ; 5.160.203,00 ; 11.122.691,00 ; 6.200.375,00 ; 11.626.770,00 ; 7.955.549,00 ; 16.120.955,00 ; 11.134.141,00 ; 22.521.618,00 ; 11.647.128,00 ; 25.645.333,00 ; 15.194.205,00 ; 36.681.244,00 ; 18.845.522,00 ; 47.680.946,00 ; 18.662.626,00 ; 50.748.373,00 ; 22.476.643,00 ; 61.380.795,00 ; 26.434.744,00 ; 72.983.389,00 ; 26.642.889,00 ; 84.952.500,00 ; 30.258.795,00 ; 93.315.735,00 ; 28.288.212,00 ; 90.281.256,00 ; 35.479.279,00 ; 113.375.484,00 ; 36.686.870,00 ; 107.684.380,00 ; 43.400.991,00 ; 123.183.079,00 ; 51.787.643,00 ; 145.628.860,00 ; 51.104.825,00 ; 144.731.210,00 ; 52.697.108,00 ; 145.471.294,00 ; 72.726.186,00 ; 176.540.499,00 ; 69.617.587,00 ; 182.568.098,00 ; 68.881.232,00 ; 184.335.335,00 ; 62.358.765,00 ; 170.146.247,00 ; 73.111.416,00 ; 199.874.777,00 
17;China; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 22,00 ; 496,00 ; 459,00 ; 4.235,00 ; 6.858,00 ; 32.738,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 108,00 ; 213,00 ; 1.000,00 ; 613,00 ; 5,00 ; 472,00 ; 317,00 ; 2.458,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
18;Coreia do Sul, República; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 450,00 ; 560,00 ; -   ; -   ; 800,00 ; 600,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
19;Croácia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 450,00 ; 12.388,00 ; 630,00 ; 16.571,00 ; -   ; -   ; -   ; -   ; 2.069,00 ; 3.779,00 ; -   ; -   ; -   ; -   ; -   ; -   ; 450,00 ; 2.900,00 ; -   ; -   ; 17.343,00 ; 78.954,00 ; 887,00 ; 35.563,00 ; 1.107,00 ; 9.160,00 ; -   ; -   
